ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
1892441911,At Your Service ( A Short Film),Shorts,Film & Video,USD,2015-10-18,1600.0,2015-10-03 21:28:50,1675.0,1,16,US,1675.0,1675.0,1600.0
1983699799,The Thread: A 10-Part Documentary Web Series,Documentary,Film & Video,AUD,2017-06-21,10000.0,2017-05-28 00:39:44,12948.0,1,105,AU,1900.52,9798.7,7567.73
2069673133,Got Your Goat? Now You Can Get Our Goat!,Farmer's Markets,Food,USD,2017-04-06,1600.0,2017-03-07 18:55:31,186.0,0,5,US,0.0,186.0,1600.0
1704095382,Strejftog - Danish short film,Film & Video,Film & Video,DKK,2017-01-16,6000.0,2016-12-27 01:10:02,6230.0,1,26,DK,168.76,890.78,857.89
180742873,Give It Up For The Dj!,Documentary,Film & Video,USD,2014-02-15,22000.0,2014-01-14 22:48:21,1323.0,0,14,US,1323.0,1323.0,22000.0
1419325340,"Wildtiger Entertainment's 3D art, animation and game design",Digital Art,Art,USD,2015-04-08,2000.0,2015-03-25 04:16:27,200.0,0,1,US,200.0,200.0,2000.0
566109103,The Bachelor Audio Recaps,Radio & Podcasts,Publishing,USD,2014-01-13,2500.0,2014-01-01 01:56:30,420.0,0,19,US,420.0,420.0,2500.0
233099416,Help My Knitted Treasures become bigger.,Knitting,Crafts,USD,2015-04-29,1500.0,2015-03-30 19:38:23,1.0,0,1,US,1.0,1.0,1500.0
1451704761,Fondo para Academia Musical,World Music,Music,MXN,2017-04-12,150000.0,2017-02-11 01:11:45,0.0,0,0,MX,0.0,0.0,8066.68
1676907294,East Coast Songwriters Conference,Music,Music,USD,2011-05-27,5000.0,2011-04-12 18:33:52,200.0,0,1,US,200.0,200.0,5000.0
1321828458,Escape from Pleasure Planet,Video Games,Games,AUD,2016-07-29,5000.0,2016-06-29 14:05:48,7749.0,1,192,AU,3251.21,5825.44,3758.83
1547801463,THINNY wallet – the special one 4 special one,Fashion,Fashion,GBP,2014-06-04,6000.0,2014-04-18 14:50:17,2899.0,0,78,GB,4879.73,4877.68,10095.23
1463295032,Guidebook to the Duchy of Valnwall,Tabletop Games,Games,USD,2015-05-21,1000.0,2015-04-21 02:35:49,2818.66,1,117,US,2818.66,2818.66,1000.0
1632518137,Last Stand,Games,Games,USD,2012-07-02,1500.0,2012-06-02 21:41:14,11206.08,1,245,US,11206.08,11206.08,1500.0
480772209,Wandering Warrior,Comics,Comics,GBP,2017-01-18,3000.0,2016-12-19 13:35:06,29.0,0,4,GB,31.22,35.61,3683.33
1717288787,IOS / Android - Content Managed Application,Apps,Technology,AUD,2014-11-14,25200.0,2014-10-17 04:15:53,0.0,0,0,AU,0.0,0.0,21859.82
1671745395,Hench - A Web Series,Comedy,Film & Video,USD,2016-07-26,8000.0,2016-06-26 01:17:17,1560.34,0,28,US,885.34,1560.34,8000.0
1907061683,Body Reclamation Project,Theater,Theater,USD,2011-03-17,900.0,2011-02-15 05:13:23,240.0,0,5,US,240.0,240.0,900.0
998037206,"Natalie Cressman Releases ""Turn The Sea""!",Jazz,Music,USD,2013-07-03,8000.0,2013-06-03 19:39:04,8310.0,1,153,US,8310.0,8310.0,8000.0
1437380694,iMpulse Game Controller & Key Finder: Pocket Accessory,Technology,Technology,USD,2012-11-04,49999.0,2012-09-20 09:01:32,139072.01,1,2788,US,139072.01,139072.01,49999.0
1319441503,Inhumanity Stinks! A card game for really nice people,Playing Cards,Games,USD,2016-03-21,3000.0,2016-02-20 15:03:29,3245.0,1,100,US,3245.0,3245.0,3000.0
299164309,We are the Dance,Music,Music,USD,2012-03-01,1000.0,2012-01-31 23:59:30,95.0,0,3,US,95.0,95.0,1000.0
369424731,Britney,Narrative Film,Film & Video,USD,2012-09-22,8000.0,2012-08-23 19:09:21,75.0,0,3,US,75.0,75.0,8000.0
1792816620,fabrari- wear the world,Fashion,Fashion,USD,2012-05-18,9000.0,2012-04-13 14:11:55,699.0,0,5,US,699.0,699.0,9000.0
1387381911,Children's Book for young readers,Children's Books,Publishing,USD,2012-10-02,2500.0,2012-09-02 19:06:43,0.0,0,0,US,0.0,0.0,2500.0
1240723857,Narwhal Makes A Sandwich,Children's Books,Publishing,CAD,2016-03-02,6500.0,2016-02-01 02:00:39,9582.0,1,193,CA,6849.64,7142.22,4844.96
1998897230,"Prevent Bullying, Sexual Predators and ISIS Propaganda",Software,Technology,USD,2016-02-27,50000.0,2015-12-29 14:26:51,0.0,0,0,US,0.0,0.0,50000.0
916684308,Ink Road Stamps,Crafts,Crafts,USD,2016-12-09,3000.0,2016-11-18 15:09:35,11234.0,1,26,US,524.0,11234.0,3000.0
122333410,The (Still) Mad One: The Wife in Space Volume 5,Nonfiction,Publishing,GBP,2016-07-31,4000.0,2016-07-21 19:46:04,9266.0,1,374,GB,7311.36,12188.58,5261.63
745479238,PolePod™ - For Life's Adventures™ (a tiny camera mount),Product Design,Design,GBP,2016-09-14,25000.0,2016-08-15 13:00:56,1343.0,0,93,GB,550.44,1769.48,32938.94
2010587970,Saturday Wars: the webcomics crossover OGN,Webcomics,Comics,USD,2014-10-16,10000.0,2014-09-16 05:12:26,1321.0,0,46,US,1321.0,1321.0,10000.0
513903398,Circus Town,Television,Film & Video,USD,2016-08-23,18000.0,2016-07-20 18:32:20,3545.0,0,60,US,250.0,3545.0,18000.0
1064152333,butt wasted. the party game for party people.,Tabletop Games,Games,USD,2017-06-17,20000.0,2017-04-18 15:05:27,25546.0,1,217,US,340.0,25546.0,20000.0
839697968,Robin and Ninja Kittens Hard enamel Pins,Art,Art,EUR,2017-12-21,550.0,2017-12-02 08:36:34,373.0,0,20,DE,306.12,442.12,651.91
45494847,Flamenco Tower build with fiber reinforced ice.,Technology,Technology,EUR,2017-10-19,5000.0,2017-09-14 17:36:23,310.0,0,14,NL,274.41,366.36,5908.98
1754936547,COMBINATION - The Manipulation of the 4 basic signs of math.,Tabletop Games,Games,USD,2012-06-03,8000.0,2012-04-04 21:33:49,756.0,0,17,US,756.0,756.0,8000.0
833973952,Cave Days records their first full length LP,Indie Rock,Music,USD,2012-05-10,4000.0,2012-04-05 03:46:31,839.0,0,13,US,839.0,839.0,4000.0
1955066313,Rogue Titus,Theater,Theater,USD,2013-04-01,250.0,2013-03-18 19:05:25,265.0,1,10,US,265.0,265.0,250.0
573798134,Kick it in for Peter Hudson - Australian Football Legend,Nonfiction,Publishing,AUD,2014-12-18,2000.0,2014-11-18 03:46:42,127.0,0,4,AU,111.11,103.88,1635.86
358261327,Simple Ring,Product Design,Design,USD,2014-11-29,700.0,2014-10-15 00:49:43,229.0,0,30,US,229.0,229.0,700.0
1405544242,Bendito Machine,Animation,Film & Video,USD,2012-07-25,30000.0,2012-06-21 20:38:54,13329.01,0,288,US,13329.01,13329.01,30000.0
244915030,Redemption Song - What a God Project,Faith,Music,USD,2014-11-13,5500.0,2014-10-15 01:44:47,630.0,0,10,US,630.0,630.0,5500.0
2146602895,Siren&Poet // MUSIC AND YOUTUBE STUDIO,Electronic Music,Music,USD,2015-10-05,5000.0,2015-09-01 08:48:05,100.0,0,3,US,100.0,100.0,5000.0
1662997475,Castle Fibers goes Global!,Knitting,Crafts,USD,2014-09-18,200.0,2014-08-27 21:29:07,1830.0,1,53,US,1830.0,1830.0,200.0
1219082552,Puzzle AKIRA,Interactive Design,Design,USD,2016-01-18,30000.0,2015-12-08 20:52:41,2594.0,0,65,US,2594.0,2594.0,30000.0
147299749,The Medical Convenience Container,Product Design,Design,USD,2017-10-21,50000.0,2017-09-21 21:05:02,500.0,0,7,US,160.0,500.0,50000.0
1544284819,Extraterrestrial life: The FOUND FOOTAGE,Science Fiction,Film & Video,CAD,2014-07-02,3000.0,2014-06-02 02:30:07,0.0,0,0,CA,0.0,0.0,2820.87
1666135080,Soul in the City Cabaret,Musical,Theater,GBP,2015-03-10,30.0,2015-02-23 20:07:31,40.0,1,4,GB,61.6,59.12,44.34
1046224473,Farmers Cookies,Restaurants,Food,USD,2015-10-03,35000.0,2015-08-04 18:10:10,0.0,0,0,US,0.0,0.0,35000.0
1197125076,Selfie : A New Social Network,Apps,Technology,GBP,2014-10-03,7000.0,2014-09-03 10:00:30,35.0,0,2,GB,58.05,56.23,11246.43
561796410,InmateVoiceMessaging App,Apps,Technology,USD,2017-12-01,25000.0,2017-11-01 04:07:45,836.0,0,9,US,23.0,836.0,25000.0
442971586,Continuing a YouTube channel dedicated to G1 Transformers.,Webseries,Film & Video,USD,2014-05-10,5000.0,2014-04-10 22:15:13,80.0,0,3,US,80.0,80.0,5000.0
327685349,Fashionably Inspiring People to Achieve GREATNESS,Fashion,Fashion,USD,2011-08-20,12000.0,2011-06-21 14:22:33,1405.0,0,26,US,1405.0,1405.0,12000.0
449998450,FamiFlicks Flipbooks,Video Art,Art,USD,2016-02-27,500.0,2016-01-28 02:29:49,762.8,1,38,US,762.8,762.8,500.0
666440191,Facebook Alternative for Adults,Web,Technology,USD,2015-10-24,25000.0,2015-08-25 18:55:53,0.0,0,0,US,0.0,0.0,25000.0
1637771779,"Fire Born is making their 2nd Full Length CD ""Same Old Game""",Rock,Music,USD,2011-05-30,1500.0,2011-04-15 07:03:34,80.0,0,4,US,80.0,80.0,1500.0
426072255,"Gatherings, An Evening of Dance by Carrie Lee Miles",Performances,Dance,USD,2014-10-16,1800.0,2014-09-28 18:21:52,191.0,0,8,US,191.0,191.0,1800.0
780251387,KOSMISCHER LÄUFER VOLUME TWO VINYL ALBUM,Electronic Music,Music,GBP,2014-04-28,1500.0,2014-04-07 19:59:43,3603.0,1,185,GB,5972.23,6080.4,2531.39
612300378,Undeadz!,Video Games,Games,USD,2013-11-30,15000.0,2013-10-31 08:09:36,551.0,0,34,US,551.0,551.0,15000.0
1405321592,The Cryptozoologist,Knitting,Crafts,GBP,2014-06-21,200.0,2014-05-22 18:10:26,377.0,1,16,GB,634.9,642.13,340.65
1812112994,Wicked Will,Children's Books,Publishing,USD,2012-07-30,3000.0,2012-07-01 10:00:40,580.0,0,5,US,580.0,580.0,3000.0
1272602772,The Mason Jar,Restaurants,Food,USD,2015-01-25,15000.0,2015-01-10 06:18:15,55.0,0,2,US,55.0,55.0,15000.0
1275649748,"Innovative job portal for you, no more CV, just creativity",Web,Technology,EUR,2017-04-11,10000.0,2017-03-12 19:44:39,1273.0,0,29,ES,10.67,1353.2,10630.04
1479879678,"Debut album, 37 years in the making.",Indie Rock,Music,USD,2012-06-07,1200.0,2012-05-08 00:38:40,1705.0,1,36,US,1705.0,1705.0,1200.0
499048915,LIQUID RELIGION Stand Up Paddle Boards (SUP Boards),Product Design,Design,USD,2013-06-10,40000.0,2013-05-09 22:26:57,7015.0,0,25,US,7015.0,7015.0,40000.0
448012166,Margoland - A Short Film,Narrative Film,Film & Video,CAD,2017-04-30,5000.0,2017-03-27 21:38:39,5085.0,1,52,CA,766.33,3692.54,3630.82
1205619163,"Propane Powered Motor Scooter-Go Clean, Go Green, Go PROGO!",Gadgets,Technology,USD,2014-08-24,18000.0,2014-07-25 23:28:32,44962.8,1,114,US,44962.8,44962.8,18000.0
